reclat,reclon,place
43.092461,-79.04715,naigara falls
42.936219,-78.859497,"delaware park, buffalo"
42.9384592,-78.8517121,buffalo zoo
,,107 heath street buffalo
,,110 heath street buffalo
,,105 Merrimac Street Buffalo
42.9822,-78.5771,A head of class Clearance
42.9142,-78.764,walden Galleria
42.9823,-78.8117,Walmart Sheridan Drive
42.9816,-78.8215,Burlington Sheridan Drive
42.8907,-78.8758,venu club buffalo
42.9627,-78.7436,BriteSmith Brewing buffalo
42.874,-78.8704,Seneca
43.0972,78.9801,naigara fashion outlet
42.9562,-78.8145,ub south campus
43.0027,-78.7847,ub north campus
